val_loss,val_acc,epoch,step,train_loss_epoch,train_acc_epoch,train_loss_step,train_acc_step,test_loss,test_acc
1.0251749753952026,0.6764705777168274,0,3,,,,,,
,,0,3,1.0159090757369995,0.7426470518112183,,,,
1.0054911375045776,0.6764705777168274,1,7,,,,,,
,,1,7,1.002332091331482,0.7058823704719543,,,,
0.9735888242721558,0.6764705777168274,2,11,,,,,,
,,2,11,0.9640843868255615,0.720588207244873,,,,
0.9363839626312256,0.6764705777168274,3,15,,,,,,
,,3,15,0.914352297782898,0.720588207244873,,,,
0.9027188420295715,0.6764705777168274,4,19,,,,,,
,,4,19,0.8610653877258301,0.7058823704719543,,,,
0.8935502171516418,0.6764705777168274,5,23,,,,,,
,,5,23,0.7865456938743591,0.720588207244873,,,,
0.929811954498291,0.6764705777168274,6,27,,,,,,
,,6,27,0.742042064666748,0.7058823704719543,,,,
0.9962993860244751,0.6764705777168274,7,31,,,,,,
,,7,31,0.6802705526351929,0.7279411554336548,,,,
1.0363283157348633,0.6764705777168274,8,35,,,,,,
,,8,35,0.7007007598876953,0.7132353186607361,,,,
1.0444587469100952,0.6764705777168274,9,39,,,,,,
,,9,39,0.6393699645996094,0.7279411554336548,,,,
1.0070308446884155,0.6764705777168274,10,43,,,,,,
,,10,43,0.6640458703041077,0.6985294222831726,,,,
0.984978973865509,0.6764705777168274,11,47,,,,,,
,,11,47,0.5979713201522827,0.7279411554336548,,,,
,,12,49,,,0.5700365900993347,0.7647058963775635,,
1.006553292274475,0.6764705777168274,12,51,,,,,,
,,12,51,0.597856879234314,0.7279411554336548,,,,
1.0563600063323975,0.6764705777168274,13,55,,,,,,
,,13,55,0.5315939784049988,0.7352941036224365,,,,
1.0801228284835815,0.6764705777168274,14,59,,,,,,
,,14,59,0.496272474527359,0.75,,,,
1.0269266366958618,0.6911764740943909,15,63,,,,,,
,,15,63,0.5044914484024048,0.7720588445663452,,,,
1.0240331888198853,0.6911764740943909,16,67,,,,,,
,,16,67,0.4463784098625183,0.8014705777168274,,,,
1.0763760805130005,0.6911764740943909,17,71,,,,,,
,,17,71,0.40020260214805603,0.8308823704719543,,,,
1.1758418083190918,0.7058823704719543,18,75,,,,,,
,,18,75,0.39587897062301636,0.8308823704719543,,,,
1.1977009773254395,0.7352941036224365,19,79,,,,,,
,,19,79,0.35108402371406555,0.8382353186607361,,,,
1.1901341676712036,0.75,20,83,,,,,,
,,20,83,0.3117532730102539,0.845588207244873,,,,
1.2616496086120605,0.75,21,87,,,,,,
,,21,87,0.29173633456230164,0.8897058963775635,,,,
1.402578592300415,0.7352941036224365,22,91,,,,,,
,,22,91,0.23984375596046448,0.904411792755127,,,,
1.4321491718292236,0.75,23,95,,,,,,
,,23,95,0.22013162076473236,0.9191176295280457,,,,
,,24,99,,,0.19238485395908356,0.9411764740943909,,
1.4564900398254395,0.7352941036224365,24,99,,,,,,
,,24,99,0.19547882676124573,0.9264705777168274,,,,
1.5510653257369995,0.7352941036224365,25,103,,,,,,
,,25,103,0.1837732195854187,0.9264705777168274,,,,
1.7139854431152344,0.720588207244873,26,107,,,,,,
,,26,107,0.16721147298812866,0.9411764740943909,,,,
1.860799789428711,0.720588207244873,27,111,,,,,,
,,27,111,0.15227895975112915,0.9558823704719543,,,,
1.9633952379226685,0.720588207244873,28,115,,,,,,
,,28,115,0.09155794978141785,0.9779411554336548,,,,
2.0600063800811768,0.7352941036224365,29,119,,,,,,
,,29,119,0.0995991975069046,0.9779411554336548,,,,
,,30,120,,,,,1.3257883787155151,0.7010309100151062
